month,day,carrier,origin,dest,distance,hour,minute,price,weekday,is_weekend,season,time_of_day,route,route_freq,dest_freq,month_sin,month_cos,hour_sin,hour_cos
6,30,VX,JFK,LAX,2475,9,40,246.28,6,1,Summer,Morning,JFK_LAX,0.03413125994857353,0.04845720582833354,1.2246467991473532e-16,-1.0,0.7071067811865476,-0.7071067811865475
5,7,DL,JFK,SJU,1598,16,57,151.56,1,0,Spring,Afternoon,JFK_SJU,0.014417778866168728,0.017968654340639156,0.49999999999999994,-0.8660254037844387,-0.8660254037844384,-0.5000000000000004
12,8,DL,JFK,LAX,2475,8,59,245.0,6,1,Winter,Morning,JFK_LAX,0.03413125994857353,0.04845720582833354,-2.4492935982947064e-16,1.0,0.8660254037844387,-0.4999999999999998
5,14,DL,JFK,TPA,1005,18,41,155.22,1,0,Spring,Evening,JFK_TPA,0.00961185257744582,0.022835802620301212,0.49999999999999994,-0.8660254037844387,-1.0,-1.8369701987210297e-16
7,21,9E,LGA,ORF,296,11,2,71.77,6,1,Summer,Morning,LGA_ORF,0.0006734419003305988,0.003826374433696584,-0.4999999999999997,-0.8660254037844388,0.258819045102521,-0.9659258262890682
1,1,AA,LGA,ORD,733,18,17,92.32,1,0,Winter,Evening,LGA_ORD,0.02451940737112771,0.0486102608056814,0.49999999999999994,0.8660254037844387,-1.0,-1.8369701987210297e-16
12,9,WN,EWR,HOU,1411,12,59,129.21,0,0,Winter,Afternoon,EWR_HOU,0.0028468225786702586,0.00676502999877556,-2.4492935982947064e-16,1.0,1.2246467991473532e-16,-1.0
8,13,B6,JFK,IAD,228,19,20,107.63,1,0,Summer,Evening,JFK_IAD,0.007652748867393168,0.01637688257622138,-0.8660254037844384,-0.5000000000000004,-0.9659258262890684,0.2588190451025203
9,26,AA,LGA,MIA,1096,7,25,133.8,3,0,Fall,Morning,LGA_MIA,0.017540100404065142,0.03734541447287866,-1.0,-1.8369701987210297e-16,0.9659258262890683,-0.25881904510252063
4,30,EV,EWR,JAX,820,13,23,71.49,1,0,Spring,Afternoon,EWR_JAX,0.0033059875107138486,0.0075303048855148765,0.8660254037844387,-0.4999999999999998,-0.2588190451025208,-0.9659258262890683
6,17,B6,JFK,ROC,264,9,40,126.53,0,0,Summer,Morning,JFK_ROC,0.004714093302314191,0.007009917962532142,1.2246467991473532e-16,-1.0,0.7071067811865476,-0.7071067811865475
11,22,B6,LGA,RSW,1080,13,20,128.88,4,0,Fall,Afternoon,LGA_RSW,0.002020325700991796,0.010652626423411289,-0.5000000000000004,0.8660254037844384,-0.2588190451025208,-0.9659258262890683
4,26,EV,EWR,DAY,533,8,9,102.88,4,0,Spring,Morning,EWR_DAY,0.002663156605852822,0.0036733194563487205,0.8660254037844387,-0.4999999999999998,0.8660254037844387,-0.4999999999999998
3,25,FL,LGA,ATL,762,20,54,99.91,0,0,Spring,Evening,LGA_ATL,0.028958001714215746,0.050599975511203626,1.0,6.123233995736766e-17,-0.8660254037844386,0.5000000000000001
10,21,B6,JFK,BTV,266,12,17,84.39,0,0,Fall,Afternoon,JFK_BTV,0.004040651401983592,0.007713970858332313,-0.8660254037844386,0.5000000000000001,1.2246467991473532e-16,-1.0
1,23,EV,EWR,BUF,282,20,24,50.9,2,0,Winter,Evening,EWR_BUF,0.003520264479000857,0.014938165789151463,0.49999999999999994,0.8660254037844387,-0.8660254037844386,0.5000000000000001
2,8,EV,EWR,DCA,199,6,44,95.49,4,0,Winter,Morning,EWR_DCA,0.005234480225296927,0.029478388637198483,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17
8,5,DL,JFK,FLL,1069,7,57,142.45,0,0,Summer,Morning,JFK_FLL,0.012979062079098812,0.03621280764050447,-0.8660254037844384,-0.5000000000000004,0.9659258262890683,-0.25881904510252063
10,21,UA,EWR,ORD,719,8,59,139.29,0,0,Fall,Morning,EWR_ORD,0.018397208277213174,0.0486102608056814,-0.8660254037844386,0.5000000000000001,0.8660254037844387,-0.4999999999999998
8,18,VX,JFK,SFO,2586,16,38,250.8,6,1,Summer,Afternoon,JFK_SFO,0.025468348230684463,0.04117178890657524,-0.8660254037844384,-0.5000000000000004,-0.8660254037844384,-0.5000000000000004
11,5,EV,LGA,PIT,335,11,26,60.02,1,0,Fall,Morning,LGA_PIT,0.003336598506183421,0.008724133708828212,-0.5000000000000004,0.8660254037844384,0.258819045102521,-0.9659258262890682
1,15,B6,LGA,PBI,1035,16,26,101.82,1,0,Winter,Afternoon,LGA_PBI,0.007499693890045304,0.018978817191135054,0.49999999999999994,0.8660254037844387,-0.8660254037844384,-0.5000000000000004
2,1,UA,EWR,PBI,1023,7,29,165.77,4,0,Winter,Morning,EWR_PBI,0.006734419003305988,0.018978817191135054,0.8660254037844386,0.5000000000000001,0.9659258262890683,-0.25881904510252063
7,7,B6,JFK,DEN,1626,23,10,160.57,6,1,Summer,Night,JFK_DEN,0.0024794906330353863,0.022529692665605484,-0.4999999999999997,-0.8660254037844388,-0.25881904510252157,0.9659258262890681
1,17,US,LGA,CLT,544,6,26,85.7,3,0,Winter,Morning,LGA_CLT,0.017846210358760866,0.042335006734419006,0.49999999999999994,0.8660254037844387,1.0,6.123233995736766e-17
8,16,MQ,LGA,CMH,479,12,51,108.23,4,0,Summer,Afternoon,LGA_CMH,0.005907922125627525,0.010652626423411289,-0.8660254037844384,-0.5000000000000004,1.2246467991473532e-16,-1.0
12,7,US,JFK,CLT,541,11,54,119.29,5,1,Winter,Morning,JFK_CLT,0.008999632668054366,0.042335006734419006,-2.4492935982947064e-16,1.0,0.258819045102521,-0.9659258262890682
4,24,EV,EWR,BUF,282,22,53,68.67,2,0,Spring,Night,EWR_BUF,0.003520264479000857,0.014938165789151463,0.8660254037844387,-0.4999999999999998,-0.5000000000000004,0.8660254037844384
6,8,DL,JFK,LAS,2248,18,39,213.11,5,1,Summer,Evening,JFK_LAS,0.011999510224072488,0.01787682135423044,1.2246467991473532e-16,-1.0,-1.0,-1.8369701987210297e-16
10,8,MQ,LGA,DTW,502,8,21,106.43,1,0,Fall,Morning,LGA_DTW,0.015029998775560181,0.027213174972450103,-0.8660254037844386,0.5000000000000001,0.8660254037844387,-0.4999999999999998
11,1,WN,LGA,BNA,764,10,58,125.53,4,0,Fall,Morning,LGA_BNA,0.009060854658993511,0.017050324476551977,-0.5000000000000004,0.8660254037844384,0.49999999999999994,-0.8660254037844387
9,18,AA,LGA,ORD,733,9,33,114.16,2,0,Fall,Morning,LGA_ORD,0.02451940737112771,0.0486102608056814,-1.0,-1.8369701987210297e-16,0.7071067811865476,-0.7071067811865475
7,5,AA,JFK,LAX,2475,9,20,217.26,4,0,Summer,Morning,JFK_LAX,0.03413125994857353,0.04845720582833354,-0.4999999999999997,-0.8660254037844388,0.7071067811865476,-0.7071067811865475
7,25,MQ,EWR,ORD,719,7,52,111.25,3,0,Summer,Morning,EWR_ORD,0.018397208277213174,0.0486102608056814,-0.4999999999999997,-0.8660254037844388,0.9659258262890683,-0.25881904510252063
12,24,UA,LGA,DEN,1620,8,38,168.26,1,0,Winter,Morning,LGA_DEN,0.011999510224072488,0.022529692665605484,-2.4492935982947064e-16,1.0,0.8660254037844387,-0.4999999999999998
4,12,B6,JFK,SJU,1598,8,40,179.83,4,0,Spring,Morning,JFK_SJU,0.014417778866168728,0.017968654340639156,0.8660254037844387,-0.4999999999999998,0.8660254037844387,-0.4999999999999998
5,13,DL,LGA,DTW,502,18,25,103.69,0,0,Spring,Evening,LGA_DTW,0.015029998775560181,0.027213174972450103,0.49999999999999994,-0.8660254037844387,-1.0,-1.8369701987210297e-16
12,18,AA,LGA,PBI,1035,7,30,128.56,2,0,Winter,Morning,LGA_PBI,0.007499693890045304,0.018978817191135054,-2.4492935982947064e-16,1.0,0.9659258262890683,-0.25881904510252063
7,21,9E,JFK,PHL,94,22,31,92.95,6,1,Summer,Night,JFK_PHL,0.0024794906330353863,0.004285539365740174,-0.4999999999999997,-0.8660254037844388,-0.5000000000000004,0.8660254037844384
8,22,UA,JFK,LAX,2475,11,8,221.46,3,0,Summer,Morning,JFK_LAX,0.03413125994857353,0.04845720582833354,-0.8660254037844384,-0.5000000000000004,0.258819045102521,-0.9659258262890682
3,13,MQ,JFK,DCA,213,12,29,80.2,2,0,Spring,Afternoon,JFK_DCA,0.009703685563854536,0.029478388637198483,1.0,6.123233995736766e-17,1.2246467991473532e-16,-1.0
10,27,EV,EWR,MKE,725,19,44,116.87,6,1,Fall,Evening,EWR_MKE,0.003367209501652994,0.008295579772254194,-0.8660254037844386,0.5000000000000001,-0.9659258262890684,0.2588190451025203
3,21,WN,LGA,BNA,764,18,50,65.48,3,0,Spring,Evening,LGA_BNA,0.009060854658993511,0.017050324476551977,1.0,6.123233995736766e-17,-1.0,-1.8369701987210297e-16
11,27,B6,JFK,JAX,828,14,21,105.98,2,0,Fall,Afternoon,JFK_JAX,0.0037957634382270113,0.0075303048855148765,-0.5000000000000004,0.8660254037844384,-0.4999999999999997,-0.8660254037844388
11,4,AA,LGA,DFW,1389,18,22,142.92,0,0,Fall,Evening,LGA_DFW,0.014387167870699154,0.026049957144606343,-0.5000000000000004,0.8660254037844384,-1.0,-1.8369701987210297e-16
